Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Radial_D6.3mm_P2.50mm",154.750000,-82.200000,90.000000,top
"C2","100uF","CP_Radial_D6.3mm_P2.50mm",156.500000,-62.700000,0.000000,top
"C3","100uF","CP_Radial_D6.3mm_P2.50mm",168.492621,-83.425000,0.000000,top
"C4","470uF","CP_Radial_D6.3mm_P2.50mm",149.300000,-62.682379,0.000000,top
"C5 470uF","470uF","CP_Radial_D6.3mm_P2.50mm",163.750000,-83.425000,180.000000,top
"CN1","PJ-3200","AUDIO-TH_PJ-3200",186.625000,-57.025000,180.000000,top
"H1","MountingHole","MountingHole_2.7mm_M2.5",148.490000,-50.100000,0.000000,top
"H2","MountingHole","MountingHole_2.7mm_M2.5",190.725000,-50.100000,0.000000,top
"H3","MountingHole","MountingHole_2.7mm_M2.5",148.490000,-85.525000,0.000000,top
"H4","MountingHole","MountingHole_2.7mm_M2.5",190.725000,-85.525000,0.000000,top
"R1","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",158.100000,-50.330000,-90.000000,top
"R2","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",167.225000,-57.895000,90.000000,top
"RV1","R_Potentiometer 10K","PinHeader_1x03_P2.54mm_Vertical",171.925000,-57.175000,180.000000,top
"RV2","R_Potentiometer 10K","PinHeader_1x03_P2.54mm_Vertical",162.800000,-57.130000,180.000000,top
"SPK1","Conn_01x02 (SPKR_R)","PinHeader_1x02_P2.54mm_Vertical",151.800000,-55.950000,-90.000000,top
"SPK2","Conn_01x02 (SPKR_L)","PinHeader_1x02_P2.54mm_Vertical",157.325000,-86.650000,-90.000000,top
"SW1","SW_Push","PinHeader_1x02_P2.54mm_Vertical",181.675000,-86.000000,90.000000,top
"SW2","SW_Push","PinHeader_1x02_P2.54mm_Vertical",180.925000,-51.400000,90.000000,top
"U1","RDA5807MRRD-102V2.0","RDA5807",165.100000,-71.500000,90.000000,top
"U2","XIAO-RP2040-DIP","XIAO-RP2040-DIP",183.031500,-71.900000,0.000000,top
"U3","TDA2822NBD","DIP-8_W7.62mm",148.490000,-67.790000,0.000000,top
